f_property_type,f_neighbourhood,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,n_days_since_rv,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_baby,d_stove,d_microwave,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
Entire rental unit,Xuhui District,NA,NA,2,3,1,2,85,4.74,1,0.62,1,4107,1,1,1,0,1,1,1,1,0,1,1,1,1,480,24963,Xuhui District,Entire rental unit
Entire serviced apartment,Jing'an District,100,100,15,2,1,1,42,4.78,15,0.36,1,3499,1,1,1,1,1,1,0,1,0,0,0,0,1,464,322045,Jing'an District,Entire serviced apartment
Entire rental unit,Jing'an District,100,100,15,2,1,1,32,4.74,15,0.28,1,3458,1,1,1,1,1,1,1,1,0,1,1,0,1,400,402315,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,2,1,1,29,4.39,15,0.25,1,3502,1,1,1,1,1,1,0,1,0,0,0,0,1,464,479499,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,2,1,1,35,4.63,15,0.3,1,3498,1,1,1,1,1,1,1,1,0,0,0,0,1,394,479506,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,2,1,1,81,4.89,15,0.71,1,3432,1,1,1,1,1,1,0,1,0,0,0,0,1,428,479517,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,3,1,2,41,4.88,15,0.36,1,3409,1,1,1,1,1,1,1,1,0,1,1,0,1,453,479530,Jing'an District,Entire rental unit
Entire serviced apartment,Pudong,100,77,31,2,1,1,7,4.29,17,0.09,1,2426,0,1,1,1,1,1,1,1,0,1,1,0,1,383,736526,Pudong,Entire serviced apartment
Entire serviced apartment,Pudong,100,77,31,2,1,1,24,4.26,17,0.23,1,3172,0,1,1,1,1,1,1,1,0,1,1,0,1,383,837691,Pudong,Entire serviced apartment
Entire serviced apartment,Pudong,100,77,31,2,1,1,5,4,17,0.05,1,3064,0,1,1,1,1,1,1,1,0,1,1,0,1,371,841576,Pudong,Entire serviced apartment
Entire serviced apartment,Pudong,100,77,31,2,1,1,19,4.26,17,0.26,1,2163,0,1,1,1,1,1,1,1,0,1,1,0,1,335,1467784,Pudong,Entire serviced apartment
Entire rental unit,Xuhui District,100,64,1,2,NA,1,13,4.46,1,0.13,1.5,2941,0,1,1,0,1,1,1,1,0,1,1,0,1,551,1555953,Xuhui District,Entire rental unit
Entire rental unit,Jing'an District,88,57,1,2,1,1,16,5,1,0.24,1,1960,0,1,1,0,1,1,1,1,0,0,0,0,0,360,2023765,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,NA,NA,1,2,1,1,41,4.63,1,0.47,1,2644,1,1,1,0,1,1,0,1,0,0,0,0,0,1203,2510225,Jing'an District,Entire rental unit
Entire rental unit,Pudong,NA,50,1,6,3,4,8,5,1,0.24,2,988,0,1,1,1,1,1,1,1,1,1,1,1,0,1869,3054998,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,8,2,1,1,6,5,8,0.07,1,2751,0,1,1,1,1,1,1,1,0,0,1,0,1,364,3139838,Pudong,Entire rental unit
Entire rental unit,Xuhui District,100,99,19,2,1,1,73,4.78,5,0.8,1,2740,1,1,1,1,1,1,0,1,0,0,0,0,1,498,3245833,Xuhui District,Entire rental unit
Entire rental unit,Pudong,100,100,8,2,1,1,8,4,8,0.09,1,2686,0,1,1,1,1,1,1,1,0,0,1,0,1,369,3274271,Pudong,Entire rental unit
Entire rental unit,Yangpu District,NA,NA,1,2,1,1,4,5,1,0.09,2.5,1276,0,1,1,1,1,1,1,1,1,1,1,0,1,627,3616752,Yangpu District,Entire rental unit
Entire rental unit,Pudong,100,100,8,2,1,1,4,5,8,0.05,1,2349,0,1,1,1,1,1,1,1,0,0,1,0,1,366,3630947,Pudong,Entire rental unit
Entire rental unit,Huangpu District,100,98,24,2,1,1,248,4.73,12,2.75,1,2707,1,1,1,1,1,1,1,1,1,1,1,0,1,454,3679038,Huangpu District,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,0,NA,11,NA,1,NA,0,1,1,1,1,1,1,1,0,0,0,0,1,244,3803748,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,4,4.75,11,0.06,1.5,2109,0,1,1,1,1,1,1,1,0,0,0,0,1,223,3838102,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,3,3,11,0.04,1,2362,0,1,1,1,1,1,0,1,0,0,0,0,0,217,4069534,Pudong,Entire rental unit
Entire loft,Jing'an District,100,92,6,2,1,1,14,4.85,2,0.43,1,985,0,1,1,0,1,1,1,1,0,1,0,0,1,151,4079845,Jing'an District,Entire loft
Entire rental unit,Huangpu District,100,100,1,6,3,3,127,4.81,1,1.45,2,2635,0,1,1,1,1,1,1,1,0,1,1,0,0,933,4133180,Huangpu District,Entire rental unit
Entire loft,Xuhui District,NA,0,1,2,1,1,242,4.47,1,2.74,1,2647,0,1,1,0,1,1,1,1,0,1,0,0,1,1143,4146179,Xuhui District,Entire loft
Entire serviced apartment,Jing'an District,80,100,3,4,1,2,191,4.72,3,2.2,1,2605,0,1,1,0,1,1,1,1,0,0,1,0,1,334,4346259,Jing'an District,Entire serviced apartment
Entire rental unit,Changning District,100,NA,1,2,1,1,10,4.67,1,0.13,1,2346,0,1,1,0,1,1,1,1,0,1,1,0,1,448,4415545,Changning District,Entire rental unit
Entire rental unit,Huangpu District,100,99,1,2,1,1,194,4.91,1,2.28,1,2555,1,1,1,1,1,1,1,1,0,1,1,0,1,611,4524412,Huangpu District,Entire rental unit
Entire rental unit,Pudong,NA,NA,1,2,1,1,7,5,1,0.09,1,2295,0,1,1,0,1,1,0,1,0,0,0,0,0,399,4618286,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,25,4.28,11,0.34,1.5,2227,0,1,1,1,1,1,1,1,0,1,1,0,1,222,4787070,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,8,2,1,1,2,4.5,8,0.11,1,566,0,1,1,1,1,1,1,1,0,0,1,0,1,368,4843016,Pudong,Entire rental unit
Entire rental unit,Minhang District,NA,NA,1,5,1,1,0,NA,1,NA,1,NA,0,1,1,0,1,1,0,1,0,0,0,0,0,1286,5008804,Minhang District,Entire rental unit
Entire rental unit,Jing'an District,100,98,24,4,1,2,178,4.72,12,2.14,1,2500,1,1,1,0,1,1,0,1,0,0,0,0,1,443,5373489,Jing'an District,Entire rental unit
Entire serviced apartment,Jing'an District,94,95,32,4,1,2,55,4.3,15,0.67,1,2470,0,1,1,1,1,1,0,1,0,0,0,0,1,605,5401207,Jing'an District,Entire serviced apartment
Entire loft,Changning District,100,100,1,3,1,1,5,5,1,0.28,1.5,529,1,1,1,0,1,0,1,1,0,1,1,0,1,438,5492565,Changning District,Entire loft
Entire rental unit,Huangpu District,100,86,2,2,1,1,260,4.84,1,3.32,1.5,2348,1,1,1,0,1,1,1,1,0,1,1,1,1,398,5525814,Huangpu District,Entire rental unit
Entire rental unit,Huangpu District,100,75,3,4,2,2,2,3.5,2,0.03,2,2078,0,1,1,0,1,1,0,1,0,0,0,0,0,774,5528693,Huangpu District,Entire rental unit
Entire rental unit,Hongkou District,100,99,6,2,1,1,91,4.76,4,1.33,1,2053,1,1,1,0,1,1,1,1,0,1,0,0,1,208,5666556,Hongkou District,Entire rental unit
Entire rental unit,Pudong,NA,NA,3,2,1,1,58,4.84,1,0.72,1,2424,1,1,1,0,1,1,0,1,0,0,0,0,0,359,5779959,Pudong,Entire rental unit
Entire rental unit,Jing'an District,100,98,24,2,1,1,329,4.82,12,4.06,1,2432,1,1,1,1,1,1,0,1,0,0,0,0,1,571,5862985,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,98,24,3,1,2,244,4.74,12,3,1,2441,1,1,1,0,1,1,1,1,0,1,1,0,1,550,5863084,Jing'an District,Entire rental unit
Entire rental unit,Minhang District,NA,100,1,4,2,2,24,5,1,0.3,1.5,2437,1,1,1,0,1,1,1,1,0,1,1,0,1,450,5889772,Minhang District,Entire rental unit
Entire rental unit,Xuhui District,100,NA,1,6,2,2,24,4.92,1,0.3,2,2377,0,1,1,0,1,1,0,1,0,0,0,0,0,1152,5993656,Xuhui District,Entire rental unit
Entire rental unit,Hongkou District,100,100,3,2,1,1,221,4.99,3,2.75,1,2407,1,1,1,0,1,1,0,1,0,0,0,0,1,750,6221854,Hongkou District,Entire rental unit
Entire rental unit,Huangpu District,100,100,2,4,1,2,93,4.81,1,1.15,1,2422,1,1,1,0,1,1,1,1,0,1,1,0,0,524,6242160,Huangpu District,Entire rental unit
Entire rental unit,Jing'an District,100,100,28,3,1,2,285,4.75,26,3.56,1,2404,0,1,1,1,1,1,0,1,0,0,1,0,1,624,6429928,Jing'an District,Entire rental unit
