f_property_type,f_neighbourhood,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,n_days_since_rv,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_baby,d_stove,d_microwave,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type,ln_price,n_beds2,ln_bathrooms,ln_number_of_reviews,n_days_since_rv2,n_host_acceptance_rate2,n_host_response_rate2,ln_host_total_listings_count,n_bedrooms2
Entire rental unit,Xuhui District,NA,NA,2,3,1,2,85,4.74,1,0.62,1,4107,1,1,1,0,1,1,1,1,0,1,1,1,1,480,24963,Xuhui District,Entire rental unit,6.173786103901937,4,0,4.454347296253507,16867449,NA,NA,0.6931471805599453,1
Entire serviced apartment,Jing'an District,100,100,15,2,1,1,42,4.78,15,0.36,1,3499,1,1,1,1,1,1,0,1,0,0,0,0,1,464,322045,Jing'an District,Entire serviced apartment,6.139884552226255,1,0,3.7612001156935624,12243001,10000,10000,2.70805020110221,1
Entire rental unit,Jing'an District,100,100,15,2,1,1,32,4.74,15,0.28,1,3458,1,1,1,1,1,1,1,1,0,1,1,0,1,400,402315,Jing'an District,Entire rental unit,5.991464547107982,1,0,3.4965075614664802,11957764,10000,10000,2.70805020110221,1
Entire rental unit,Jing'an District,100,100,15,2,1,1,29,4.39,15,0.25,1,3502,1,1,1,1,1,1,0,1,0,0,0,0,1,464,479499,Jing'an District,Entire rental unit,6.139884552226255,1,0,3.4011973816621555,12264004,10000,10000,2.70805020110221,1
Entire rental unit,Jing'an District,100,100,15,2,1,1,35,4.63,15,0.3,1,3498,1,1,1,1,1,1,1,1,0,0,0,0,1,394,479506,Jing'an District,Entire rental unit,5.976350909297934,1,0,3.58351893845611,12236004,10000,10000,2.70805020110221,1
Entire rental unit,Jing'an District,100,100,15,2,1,1,81,4.89,15,0.71,1,3432,1,1,1,1,1,1,0,1,0,0,0,0,1,428,479517,Jing'an District,Entire rental unit,6.059123195581797,1,0,4.406719247264253,11778624,10000,10000,2.70805020110221,1
Entire rental unit,Jing'an District,100,100,15,3,1,2,41,4.88,15,0.36,1,3409,1,1,1,1,1,1,1,1,0,1,1,0,1,453,479530,Jing'an District,Entire rental unit,6.115892125483034,4,0,3.7376696182833684,11621281,10000,10000,2.70805020110221,1
Entire serviced apartment,Pudong,100,77,31,2,1,1,7,4.29,17,0.09,1,2426,0,1,1,1,1,1,1,1,0,1,1,0,1,383,736526,Pudong,Entire serviced apartment,5.948034989180646,1,0,2.0794415416798357,5885476,5929,10000,3.4339872044851463,1
Entire serviced apartment,Pudong,100,77,31,2,1,1,24,4.26,17,0.23,1,3172,0,1,1,1,1,1,1,1,0,1,1,0,1,383,837691,Pudong,Entire serviced apartment,5.948034989180646,1,0,3.2188758248682006,10061584,5929,10000,3.4339872044851463,1
Entire serviced apartment,Pudong,100,77,31,2,1,1,5,4,17,0.05,1,3064,0,1,1,1,1,1,1,1,0,1,1,0,1,371,841576,Pudong,Entire serviced apartment,5.916202062607435,1,0,1.791759469228055,9388096,5929,10000,3.4339872044851463,1
Entire serviced apartment,Pudong,100,77,31,2,1,1,19,4.26,17,0.26,1,2163,0,1,1,1,1,1,1,1,0,1,1,0,1,335,1467784,Pudong,Entire serviced apartment,5.814130531825066,1,0,2.995732273553991,4678569,5929,10000,3.4339872044851463,1
Entire rental unit,Xuhui District,100,64,1,2,NA,1,13,4.46,1,0.13,1.5,2941,0,1,1,0,1,1,1,1,0,1,1,0,1,551,1555953,Xuhui District,Entire rental unit,6.311734809152915,1,0.4054651081081644,2.6390573296152584,8649481,4096,10000,0,NA
Entire rental unit,Jing'an District,88,57,1,2,1,1,16,5,1,0.24,1,1960,0,1,1,0,1,1,1,1,0,0,0,0,0,360,2023765,Jing'an District,Entire rental unit,5.886104031450156,1,0,2.833213344056216,3841600,3249,7744,0,1
Entire rental unit,Jing'an District,NA,NA,1,2,1,1,41,4.63,1,0.47,1,2644,1,1,1,0,1,1,0,1,0,0,0,0,0,1203,2510225,Jing'an District,Entire rental unit,7.0925737159746784,1,0,3.7376696182833684,6990736,NA,NA,0,1
Entire rental unit,Pudong,100,100,8,2,1,1,6,5,8,0.07,1,2751,0,1,1,1,1,1,1,1,0,0,1,0,1,364,3139838,Pudong,Entire rental unit,5.8971538676367405,1,0,1.9459101490553132,7568001,10000,10000,2.0794415416798357,1
Entire rental unit,Xuhui District,100,99,19,2,1,1,73,4.78,5,0.8,1,2740,1,1,1,1,1,1,0,1,0,0,0,0,1,498,3245833,Xuhui District,Entire rental unit,6.210600077024653,1,0,4.30406509320417,7507600,9801,10000,2.9444389791664403,1
Entire rental unit,Pudong,100,100,8,2,1,1,8,4,8,0.09,1,2686,0,1,1,1,1,1,1,1,0,0,1,0,1,369,3274271,Pudong,Entire rental unit,5.910796644040527,1,0,2.1972245773362196,7214596,10000,10000,2.0794415416798357,1
Entire rental unit,Yangpu District,NA,NA,1,2,1,1,4,5,1,0.09,2.5,1276,0,1,1,1,1,1,1,1,1,1,1,0,1,627,3616752,Yangpu District,Entire rental unit,6.440946540632921,1,0.9162907318741551,1.6094379124341003,1628176,NA,NA,0,1
Entire rental unit,Pudong,100,100,8,2,1,1,4,5,8,0.05,1,2349,0,1,1,1,1,1,1,1,0,0,1,0,1,366,3630947,Pudong,Entire rental unit,5.902633333401366,1,0,1.6094379124341003,5517801,10000,10000,2.0794415416798357,1
Entire rental unit,Huangpu District,100,98,24,2,1,1,248,4.73,12,2.75,1,2707,1,1,1,1,1,1,1,1,1,1,1,0,1,454,3679038,Huangpu District,Entire rental unit,6.118097198041348,1,0,5.517452896464707,7327849,9604,10000,3.1780538303479458,1
Entire rental unit,Pudong,100,100,11,2,1,1,0,NA,11,NA,1,NA,0,1,1,1,1,1,1,1,0,0,0,0,1,244,3803748,Pudong,Entire rental unit,5.497168225293202,1,0,0,NA,10000,10000,2.3978952727983707,1
Entire rental unit,Pudong,100,100,11,2,1,1,4,4.75,11,0.06,1.5,2109,0,1,1,1,1,1,1,1,0,0,0,0,1,223,3838102,Pudong,Entire rental unit,5.407171771460119,1,0.4054651081081644,1.6094379124341003,4447881,10000,10000,2.3978952727983707,1
Entire rental unit,Pudong,100,100,11,2,1,1,3,3,11,0.04,1,2362,0,1,1,1,1,1,0,1,0,0,0,0,0,217,4069534,Pudong,Entire rental unit,5.37989735354046,1,0,1.3862943611198906,5579044,10000,10000,2.3978952727983707,1
Entire loft,Jing'an District,100,92,6,2,1,1,14,4.85,2,0.43,1,985,0,1,1,0,1,1,1,1,0,1,0,0,1,151,4079845,Jing'an District,Entire loft,5.017279836814924,1,0,2.70805020110221,970225,8464,10000,1.791759469228055,1
Entire rental unit,Huangpu District,100,100,1,6,3,3,127,4.81,1,1.45,2,2635,0,1,1,1,1,1,1,1,0,1,1,0,0,933,4133180,Huangpu District,Entire rental unit,6.838405200847344,9,0.6931471805599453,4.852030263919617,6943225,10000,10000,0,9
Entire loft,Xuhui District,NA,0,1,2,1,1,242,4.47,1,2.74,1,2647,0,1,1,0,1,1,1,1,0,1,0,0,1,1143,4146179,Xuhui District,Entire loft,7.04141166379481,1,0,5.493061443340548,7006609,0,NA,0,1
Entire serviced apartment,Jing'an District,80,100,3,4,1,2,191,4.72,3,2.2,1,2605,0,1,1,0,1,1,1,1,0,0,1,0,1,334,4346259,Jing'an District,Entire serviced apartment,5.811140992976701,4,0,5.2574953720277815,6786025,10000,6400,1.0986122886681098,1
Entire rental unit,Changning District,100,NA,1,2,1,1,10,4.67,1,0.13,1,2346,0,1,1,0,1,1,1,1,0,1,1,0,1,448,4415545,Changning District,Entire rental unit,6.104793232414985,1,0,2.3978952727983707,5503716,NA,10000,0,1
Entire rental unit,Huangpu District,100,99,1,2,1,1,194,4.91,1,2.28,1,2555,1,1,1,1,1,1,1,1,0,1,1,0,1,611,4524412,Huangpu District,Entire rental unit,6.415096959171596,1,0,5.272999558563747,6528025,9801,10000,0,1
Entire rental unit,Pudong,NA,NA,1,2,1,1,7,5,1,0.09,1,2295,0,1,1,0,1,1,0,1,0,0,0,0,0,399,4618286,Pudong,Entire rental unit,5.988961416889864,1,0,2.0794415416798357,5267025,NA,NA,0,1
Entire rental unit,Pudong,100,100,11,2,1,1,25,4.28,11,0.34,1.5,2227,0,1,1,1,1,1,1,1,0,1,1,0,1,222,4787070,Pudong,Entire rental unit,5.402677381872279,1,0.4054651081081644,3.258096538021482,4959529,10000,10000,2.3978952727983707,1
Entire rental unit,Pudong,100,100,8,2,1,1,2,4.5,8,0.11,1,566,0,1,1,1,1,1,1,1,0,0,1,0,1,368,4843016,Pudong,Entire rental unit,5.908082938168931,1,0,1.0986122886681098,320356,10000,10000,2.0794415416798357,1
Entire rental unit,Minhang District,NA,NA,1,5,1,1,0,NA,1,NA,1,NA,0,1,1,0,1,1,0,1,0,0,0,0,0,1286,5008804,Minhang District,Entire rental unit,7.1592919047975645,1,0,0,NA,NA,NA,0,1
Entire rental unit,Jing'an District,100,98,24,4,1,2,178,4.72,12,2.14,1,2500,1,1,1,0,1,1,0,1,0,0,0,0,1,443,5373489,Jing'an District,Entire rental unit,6.093569770045136,4,0,5.187385805840755,6250000,9604,10000,3.1780538303479458,1
Entire serviced apartment,Jing'an District,94,95,32,4,1,2,55,4.3,15,0.67,1,2470,0,1,1,1,1,1,0,1,0,0,0,0,1,605,5401207,Jing'an District,Entire serviced apartment,6.405228458030842,4,0,4.02535169073515,6100900,9025,8836,3.4657359027997265,1
Entire loft,Changning District,100,100,1,3,1,1,5,5,1,0.28,1.5,529,1,1,1,0,1,0,1,1,0,1,1,0,1,438,5492565,Changning District,Entire loft,6.082218910376446,1,0.4054651081081644,1.791759469228055,279841,10000,10000,0,1
Entire rental unit,Huangpu District,100,86,2,2,1,1,260,4.84,1,3.32,1.5,2348,1,1,1,0,1,1,1,1,0,1,1,1,1,398,5525814,Huangpu District,Entire rental unit,5.986452005284438,1,0.4054651081081644,5.564520407322694,5513104,7396,10000,0.6931471805599453,1
Entire rental unit,Huangpu District,100,75,3,4,2,2,2,3.5,2,0.03,2,2078,0,1,1,0,1,1,0,1,0,0,0,0,0,774,5528693,Huangpu District,Entire rental unit,6.651571873589727,4,0.6931471805599453,1.0986122886681098,4318084,5625,10000,1.0986122886681098,4
Entire rental unit,Hongkou District,100,99,6,2,1,1,91,4.76,4,1.33,1,2053,1,1,1,0,1,1,1,1,0,1,0,0,1,208,5666556,Hongkou District,Entire rental unit,5.337538079701318,1,0,4.5217885770490405,4214809,9801,10000,1.791759469228055,1
Entire rental unit,Pudong,NA,NA,3,2,1,1,58,4.84,1,0.72,1,2424,1,1,1,0,1,1,0,1,0,0,0,0,0,359,5779959,Pudong,Entire rental unit,5.883322388488279,1,0,4.07753744390572,5875776,NA,NA,1.0986122886681098,1
Entire rental unit,Jing'an District,100,98,24,2,1,1,329,4.82,12,4.06,1,2432,1,1,1,1,1,1,0,1,0,0,0,0,1,571,5862985,Jing'an District,Entire rental unit,6.3473892096560105,1,0,5.799092654460526,5914624,9604,10000,3.1780538303479458,1
Entire rental unit,Jing'an District,100,98,24,3,1,2,244,4.74,12,3,1,2441,1,1,1,0,1,1,1,1,0,1,1,0,1,550,5863084,Jing'an District,Entire rental unit,6.309918278226516,4,0,5.501258210544727,5958481,9604,10000,3.1780538303479458,1
Entire rental unit,Minhang District,NA,100,1,4,2,2,24,5,1,0.3,1.5,2437,1,1,1,0,1,1,1,1,0,1,1,0,1,450,5889772,Minhang District,Entire rental unit,6.1092475827643655,4,0.4054651081081644,3.2188758248682006,5938969,10000,NA,0,4
Entire rental unit,Xuhui District,100,NA,1,6,2,2,24,4.92,1,0.3,2,2377,0,1,1,0,1,1,0,1,0,0,0,0,0,1152,5993656,Xuhui District,Entire rental unit,7.049254841255837,4,0.6931471805599453,3.2188758248682006,5650129,NA,10000,0,4
Entire rental unit,Hongkou District,100,100,3,2,1,1,221,4.99,3,2.75,1,2407,1,1,1,0,1,1,0,1,0,0,0,0,1,750,6221854,Hongkou District,Entire rental unit,6.620073206530356,1,0,5.402677381872279,5793649,10000,10000,1.0986122886681098,1
Entire rental unit,Huangpu District,100,100,2,4,1,2,93,4.81,1,1.15,1,2422,1,1,1,0,1,1,1,1,0,1,1,0,0,524,6242160,Huangpu District,Entire rental unit,6.261491684321042,4,0,4.543294782270004,5866084,10000,10000,0.6931471805599453,1
Entire rental unit,Jing'an District,100,100,28,3,1,2,285,4.75,26,3.56,1,2404,0,1,1,1,1,1,0,1,0,0,1,0,1,624,6429928,Jing'an District,Entire rental unit,6.436150368369428,4,0,5.655991810819852,5779216,10000,10000,3.332204510175204,1
Entire rental unit,Qingpu District,100,80,5,4,2,3,20,4.95,4,0.26,1,2279,1,1,1,0,1,1,1,1,0,1,0,0,1,558,6482165,Qingpu District,Entire rental unit,6.324358962381311,9,0,3.044522437723423,5193841,6400,10000,1.6094379124341003,4
Entire rental unit,Qingpu District,100,80,5,5,3,4,13,4.85,4,0.18,1,2184,1,1,1,0,1,1,1,1,0,1,0,0,1,569,6560873,Qingpu District,Entire rental unit,6.343880434126331,16,0,2.6390573296152584,4769856,6400,10000,1.6094379124341003,9
Entire rental unit,Chongming District,100,100,2,6,3,3,97,4.73,1,1.22,2,2375,0,1,1,0,1,1,0,1,0,0,1,1,0,780,6646428,Chongming District,Entire rental unit,6.659293919683638,9,0.6931471805599453,4.584967478670572,5640625,10000,10000,0.6931471805599453,9
Entire rental unit,Songjiang District,100,100,15,2,1,1,85,4.87,17,1.1,1,2308,1,1,1,1,1,1,1,1,0,1,1,0,0,401,6818418,Songjiang District,Entire rental unit,5.993961427306569,1,0,4.454347296253507,5326864,10000,10000,2.70805020110221,1
Entire rental unit,Putuo District,100,100,4,4,2,2,10,4.7,1,0.13,1,2344,0,1,1,1,1,1,0,1,0,0,0,0,1,403,7012958,Putuo District,Entire rental unit,5.998936561946683,4,0,2.3978952727983707,5494336,10000,10000,1.3862943611198906,4
Entire rental unit,Pudong,100,92,1,3,1,2,448,4.86,1,5.71,1,2353,1,1,1,0,1,1,1,1,0,1,1,0,1,296,7077655,Pudong,Entire rental unit,5.69035945432406,4,0,6.1070228877422545,5536609,8464,10000,0,1
Entire rental unit,Yangpu District,100,67,6,2,1,1,40,4.98,3,0.73,1,1634,1,1,1,0,1,1,1,1,0,0,0,0,1,341,7465494,Yangpu District,Entire rental unit,5.831882477283517,1,0,3.713572066704308,2669956,4489,10000,1.791759469228055,1
Entire rental unit,Huangpu District,100,100,11,4,1,2,368,4.78,10,4.75,1,2323,0,1,1,1,1,1,1,1,0,0,1,0,1,355,7766508,Huangpu District,Entire rental unit,5.872117789475416,4,0,5.910796644040527,5396329,10000,10000,2.3978952727983707,1
Entire rental unit,Huangpu District,NA,100,1,2,1,2,237,4.83,1,3.19,1,2231,1,1,1,0,1,1,1,1,0,0,1,0,1,299,7875641,Huangpu District,Entire rental unit,5.700443573390687,4,0,5.472270673671475,4977361,10000,NA,0,1
Entire rental unit,Jing'an District,NA,0,0,2,1,2,4,4.5,1,0.06,1,2072,0,1,1,0,0,1,0,1,0,0,0,0,0,699,7880493,Jing'an District,Entire rental unit,6.54965074223381,4,0,1.6094379124341003,4293184,0,NA,NA,1
Entire rental unit,Xuhui District,94,95,32,5,2,3,48,4.65,15,0.63,1,2296,0,1,1,1,1,1,1,1,0,1,1,0,1,985,7911544,Xuhui District,Entire rental unit,6.892641641172089,9,0,3.8918202981106265,5271616,9025,8836,3.4657359027997265,4
